series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
47,Akira,Movie,1,0,1,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22729,Aldnoah.Zero,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
6547,Angel Beats!,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
2402,Ashita no Joe,TV,79,0,79,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
7674,Bakuman.,TV,25,0,25,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22789,Barakamon,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
269,Bleach,TV,366,0,366,0000-00-00,0000-00-00,,6,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
49596,Blue Lock,TV,24,0,24,0000-00-00,2023-08-12,,7,,0.00,Watching,,0,,LOW,,0,0,1,default,0
1575,Code Geass: Hangyaku no Lelouch,TV,25,0,25,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1,Cowboy Bebop,TV,26,0,26,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1535,Death Note,TV,37,0,37,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
223,Dragon Ball,TV,153,0,153,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
225,Dragon Ball GT,TV,64,0,64,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
6033,Dragon Ball Kai,TV,97,0,97,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30694,Dragon Ball Super,TV,131,0,0,0000-00-00,0000-00-00,,7,,0.00,Watching,,0,,LOW,,0,0,1,default,0
813,Dragon Ball Z,TV,291,0,291,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
6702,Fairy Tail,TV,175,0,0,0000-00-00,0000-00-00,,4,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
356,Fate/stay night,TV,24,0,24,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
5114,Fullmetal Alchemist: Brotherhood,TV,64,0,64,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
384,Gantz,TV,13,0,13,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
820,Ginga Eiyuu Densetsu,OVA,110,0,110,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
918,Gintama,TV,201,0,201,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
9969,Gintama',TV,51,0,0,0000-00-00,0000-00-00,,9,,0.00,Watching,,0,,LOW,,0,0,1,default,0
34096,Gintama.,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39486,Gintama: The Final,Movie,1,0,0,0000-00-00,0000-00-00,,9,,0.00,Watching,,0,,LOW,,0,0,1,default,0
28977,Gintama°,TV,51,0,51,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
20583,Haikyuu!!,TV,25,0,25,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28891,Haikyuu!! Second Season,TV,25,0,25,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
263,Hajime no Ippo,TV,75,0,0,0000-00-00,0000-00-00,,8,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
777,Hellsing Ultimate,OVA,10,0,10,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
431,Howl no Ugoku Shiro,Movie,1,0,1,0000-00-00,2023-08-12,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11061,Hunter x Hunter (2011),TV,148,0,148,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
14719,JoJo no Kimyou na Bouken (TV),TV,26,0,0,0000-00-00,0000-00-00,,6,,0.00,Watching,,0,,LOW,,0,0,1,default,0
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV,24,0,0,0000-00-00,0000-00-00,,8,,0.00,Watching,,0,,LOW,,0,0,1,default,0
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,0,0,0000-00-00,0000-00-00,,7,,0.00,Watching,,0,,LOW,,0,0,1,default,0
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39,0,0,0000-00-00,0000-00-00,,8,,0.00,Watching,,0,,LOW,,0,0,1,default,0
40221,Kami no Tou,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
2581,Kidou Senshi Gundam 00,TV,25,0,25,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38000,Kimetsu no Yaiba,TV,26,0,26,0000-00-00,0000-00-00,,7,,0.00,Watching,,0,,LOW,,0,0,1,default,0
32281,Kimi no Na wa.,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22535,Kiseijuu: Sei no Kakuritsu,TV,24,0,24,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28851,Koe no Katachi,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
16782,Kotonoha no Niwa,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
43,Koukaku Kidoutai,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11771,Kuroko no Basket,TV,25,0,25,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34599,Made in Abyss,TV,13,0,0,0000-00-00,0000-00-00,,7,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
522,Metropolis,Movie,1,0,1,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
10620,Mirai Nikki (TV),TV,26,0,26,0000-00-00,0000-00-00,,2,,0.00,Completed,,0,,LOW,,0,0,1,default,0
164,Mononoke Hime,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
19,Monster,TV,74,0,74,0000-00-00,2023-08-12,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1469,Monster Farm: Enbanseki no Himitsu,TV,48,0,48,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,TV,11,0,0,0000-00-00,0000-00-00,,7,,0.00,Watching,,0,,LOW,,0,0,1,default,0
20,Naruto,TV,220,0,220,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1735,Naruto: Shippuuden,TV,500,0,0,0000-00-00,0000-00-00,,7,,0.00,Watching,,0,,LOW,,0,0,1,default,0
20507,Noragami,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
21,One Piece,TV,0,0,0,0000-00-00,0000-00-00,,9,,0.00,Watching,,0,,LOW,,0,0,1,default,0
35737,Pluto,ONA,8,0,8,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
527,Pokemon,TV,276,0,276,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
13601,Psycho-Pass,TV,22,0,22,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
23281,Psycho-Pass 2,TV,11,0,11,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33926,Quanzhi Gaoshou,ONA,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
205,Samurai Champloo,TV,26,0,26,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
199,Sen to Chihiro no Kamikakushi,Movie,1,0,1,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
16498,Shingeki no Kyojin,TV,25,0,25,0000-00-00,0000-00-00,,8,,0.00,Watching,,0,,LOW,,0,0,1,default,0
30,Shinseiki Evangelion,TV,26,0,26,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
13125,Shinsekai yori,TV,25,0,25,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,0,1,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
9253,Steins;Gate,TV,24,0,24,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11757,Sword Art Online,TV,25,0,25,0000-00-00,0000-00-00,,5,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
21881,Sword Art Online II,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
31765,Sword Art Online Movie: Ordinal Scale,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
2154,Tekkon Kinkreet,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
2001,Tengen Toppa Gurren Lagann,TV,27,0,27,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37430,Tensei shitara Slime Datta Ken,TV,24,0,0,0000-00-00,0000-00-00,,7,,0.00,Watching,,0,,LOW,,0,0,1,default,0
22319,Tokyo Ghoul,TV,12,0,0,0000-00-00,0000-00-00,,5,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
10033,Toriko,TV,147,0,0,0000-00-00,0000-00-00,,7,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
6,Trigun,TV,26,0,26,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
481,Yu☆Gi☆Oh! Duel Monsters,TV,224,0,224,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
14075,Zetsuen no Tempest,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
763,Zoids,TV,67,0,67,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
